Journal,Sci-Hub,Crossref,Coverage
The Lancet,"457,650","458,580",99.80%
Nature,"385,619","399,273",96.60%
British Medical Journal (Clinical Research Edition),"17,141","392,277",4.40%
Lecture Notes in Computer Science,"103,675","356,323",29.10%
Science,"230,649","251,083",91.90%
Journal of the American Medical Association,"191,950","248,369",77.30%
Journal of the American Chemical Society,"189,142","189,567",99.80%
Scientific American,"22,600","186,473",12.10%
New England Journal of Medicine,"180,321","180,467",99.90%
PLOS ONE,"4,731","177,260",2.70%